상품명,URL,요약정보,여행도시,리뷰_평균점수,식사,가성비,가이드,숙소,일정,이동수단,상품명_리뷰수, 10대 이하,20대,30대,40대,50대,60대 이상 ,가족여행,나혼자,단체여행,친구들과,커플
(오후출발)[노쇼핑/101전망대]대만/단수이/야류/지우펀/스펀 4일 (4성호텔/천등날리기/특식4회),https://www.modetour.com/package/95536508,"3박4일,대한항공직항,쇼핑 없음,가이드 경비$40,선택관광있음","기륭, 단수이, 타이페이",4.724261772,72,12,709,87,191,59,1253,1,58,126,251,359,214,596,24,40,255,93
(오후출발)[노쇼핑/노팁/노옵션]대만/단수이/야류/지우펀/스펀 4일(101전망대/천등날리기/발마사지/특식5회),https://www.modetour.com/package/95536714,"3박4일,대한항공직항,쇼핑 없음,가이드 경비없음,선택관광없음","기륭, 단수이, 타이페이",4.8,16,2,169,14,42,16,304,0,14,26,69,90,49,149,5,9,63,21
(오후출발)[자오시 온천호텔1박+5성호텔2박]대만/예류/스펀/지우펀 4일(카발란위스키공장/천등날리기/특식4회+버블티),https://www.modetour.com/package/86172138,"3박4일,대한항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","자오시, 기륭, 타이페이",4.7,56,10,540,73,149,43,949,1,44,100,182,269,165,447,19,31,192,72
<5성호텔/101전망대/쇼핑2회>대만/단수이/야류/지우펀/스펀 4일 (천등날리기),https://www.modetour.com/package/87270119,"3박4일,진에어직항,쇼핑 2회,가이드 경비$40,선택관광있음","기륭, 단수이, 타이페이",4.7,560,100,5400,730,1490,430,9490,10,440,1000,1820,2690,1650,4470,190,310,1920,720
<김포출발>대만/야류/지우펀/스펀 3일(4성호텔/천등날리기),https://www.modetour.com/package/87944194,"2박3일,이스타항공직항,쇼핑 2회,가이드 경비$30,선택관광있음","기륭, 타이페이",4.7,107,20,1057,140,287,83,1561,1,69,165,291,459,284,741,31,51,327,119
<오후출발>[1일자유/노쇼핑/시내4성] 대만/야류/지우펀/스펀 4일,https://www.modetour.com/package/84673270,"3박4일,대한항공직항,쇼핑 없음,가이드 경비$30,선택관광있음,자유일정포함","기륭, 타이페이",4.7,56,10,540,73,149,43,949,1,44,100,182,269,165,447,19,31,192,72
<오후출발>[월드체인호텔/101전망대/쇼핑2회/4대특식][베이터우 온천마을]대만/예류/스펀/지우펀 4일 (천등날리기),https://www.modetour.com/package/87888565,"3박4일,아시아나 항공직항,쇼핑 2회,가이드 경비$40,선택관광있음","기륭, 타이페이",4.7,112,20,1080,146,298,86,1898,2,88,200,364,538,330,894,38,62,384,144
<오후출발>대만/단수이/야류/지우펀/스펀 4일 (4성호텔/천등날리기),https://www.modetour.com/package/95536133,"3박4일,대한항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","기륭, 단수이, 타이페이",4.709647731,184,32,1789,233,489,145,3151,3,146,326,615,897,544,1490,62,102,639,237
"<인천출발> [노팁,노옵션★월드체인] THE 특별한 북경 4일",https://www.modetour.com/package/88152252,"3박4일,아시아나 항공직항,쇼핑 1회,가이드 경비없음,선택관광없음",북경,4.5,4,1,18,7,7,1,34,0,0,5,8,6,12,18,0,2,9,2
"<인천출발> [노팁,노옵션★월드체인] THE 특별한 북경 5일",https://www.modetour.com/package/92949453,"3박5일,대한항공직항,쇼핑 1회,가이드 경비없음,선택관광없음",북경,4.5,4,1,18,7,7,1,34,0,0,5,8,6,12,18,0,2,9,2
"<인천출발> [노팁,노옵션★월드체인] THE 특별한 북경(천진)/고북수진(숙박) 4일",https://www.modetour.com/package/94932370,"3박4일,아시아나 항공직항,쇼핑 1회,가이드 경비없음,선택관광없음",북경,4.5,4,1,18,7,7,1,34,0,0,5,8,6,12,18,0,2,9,2
