여행나라,여행도시,날짜,최고_기온,최저_기온,강수량,습도,적설량,불쾌지수
괌,괌,2014-01-01,27.43,25.81,7.16,80.68,0.0,68.73
괌,괌,2014-02-01,27.11,25.39,1.99,77.5,0.0,67.8
괌,괌,2014-03-01,27.18,25.5,1.21,78.9,0.0,67.78
괌,괌,2014-04-01,28.11,26.09,3.43,80.8,0.0,68.69
괌,괌,2014-05-01,28.52,26.55,2.24,79.26,0.0,68.9
괌,괌,2014-06-01,28.96,26.73,3.29,81.03,0.0,69.29
괌,괌,2014-07-01,28.27,25.89,17.45,84.26,0.0,70.44
괌,괌,2014-08-01,28.13,25.83,7.21,82.87,0.0,69.06
괌,괌,2014-09-01,28.24,25.91,11.27,83.1,0.0,69.65
괌,괌,2014-10-01,27.9,25.79,11.76,84.0,0.0,69.5
괌,괌,2014-11-01,28.26,26.34,5.24,82.23,0.0,69.09
괌,괌,2014-12-01,28.11,26.35,1.9,80.81,0.0,68.6
괌,괌,2015-01-01,27.3,25.66,5.35,81.9,0.0,68.39
괌,괌,2015-02-01,26.52,25.07,0.39,67.96,0.0,67.24
괌,괌,2015-03-01,27.07,25.31,5.06,78.81,0.0,68.11
괌,괌,2015-04-01,27.43,25.49,3.9,82.33,0.0,68.2
괌,괌,2015-05-01,28.0,26.09,5.02,81.13,0.0,68.84
괌,괌,2015-06-01,28.08,26.24,3.47,82.13,0.0,68.74
괌,괌,2015-07-01,28.09,25.94,7.83,83.52,0.0,69.17
괌,괌,2015-08-01,28.05,26.06,13.92,84.1,0.0,69.98
괌,괌,2015-09-01,28.04,25.88,14.21,84.7,0.0,69.92
괌,괌,2015-10-01,28.12,26.1,7.51,82.32,0.0,69.21
괌,괌,2015-11-01,28.01,26.15,4.45,81.5,0.0,68.8
괌,괌,2015-12-01,27.42,25.93,2.68,80.03,0.0,68.23
괌,괌,2016-01-01,27.0,25.55,0.83,75.19,0.0,67.68
괌,괌,2016-02-01,26.63,25.17,1.17,77.69,0.0,67.42
