여행나라,여행도시,목표날짜,종합점수,트렌드급상승,trend_score,weather_score,cost_score,festival_score,safety_modifier
중국,칭다오,2025-06-01,9.317722878625133,,7.338255977496484,8.0,10.0,2,10.0
중국,광저우,2025-06-01,9.046974579305406,,6.638537271448665,8.0,10.0,2,10.0
베트남,하노이,2025-06-01,8.453777300393842,,7.689873417721519,8.0,10.0,1,10.0
캐나다,밴쿠버,2025-06-01,8.393197278911567,,6.962025316455697,10.0,6.0,2,10.0
아일랜드,더블린,2025-06-01,8.048299319727892,,5.295358649789029,10.0,7.0,2,10.0
베트남,다낭,2025-06-01,8.013677049767276,,7.640646976090014,6.0,10.0,1,10.0
핀란드,헬싱키,2025-06-01,7.9693877551020424,급상승,5.09142053445851,10.0,7.0,2,10.0
태국,방콕,2025-06-01,7.893949158610813,,4.746835443037974,6.0,10.0,2,10.0
캐나다,몬트리올,2025-06-01,7.843537414965986,,5.541490857946555,10.0,6.0,2,10.0
캐나다,오타와,2025-06-01,7.7673469387755105,,3.7939521800281293,10.0,8.0,2,10.0
호주,멜버른,2025-06-01,7.749659863945579,,5.29887482419128,10.0,6.0,2,10.0
태국,푸켓,2025-06-01,7.66265664160401,,6.733473980309423,6.0,10.0,1,10.0
이탈리아,밀라노,2025-06-01,7.658539205155748,,6.926863572433193,8.0,5.0,2,10.0
오스트리아,비엔나,2025-06-01,7.609559613319012,,6.80028129395218,8.0,5.0,2,10.0
일본,도쿄,2025-06-01,7.591192266380238,,5.977496483825597,8.0,6.0,2,10.0
이탈리아,베니스,2025-06-01,7.566022198353027,,6.6877637130801695,8.0,5.0,2,10.0
일본,오사카,2025-06-01,7.430648048693163,,5.562587904360057,8.0,6.0,2,10.0
홍콩,홍콩,2025-06-01,7.413641245972073,,4.743319268635725,8.0,7.0,2,10.0
이탈리아,피렌체,2025-06-01,7.374185463659149,,6.19198312236287,8.0,5.0,2,10.0
캐나다,토론토,2025-06-01,7.357823129251702,급상승,4.286216596343179,10.0,6.0,2,10.0
싱가포르,싱가포르,2025-06-01,7.3299677765843185,,5.3023909985935305,8.0,6.0,2,10.0
헝가리,부다페스트,2025-06-01,7.314321518080917,,6.037271448663855,8.0,5.0,2,10.0
대만,타이중,2025-06-01,7.28983172216255,,5.457102672292546,8.0,9.0,1,10.0
독일,프랑크푸르트,2025-06-01,7.242857142857142,,4.7644163150492265,10.0,5.0,2,10.0
말레이시아,쿠알라룸푸르,2025-06-01,7.185682384359947,,2.9163991593727623,6.0,10.0,2,10.0
호주,시드니,2025-06-01,7.178231292517008,,3.822081575246132,10.0,6.0,2,10.0
일본,교토,2025-06-01,7.134049409237379,,4.79606188466948,8.0,6.0,2,10.0
베트남,나트랑,2025-06-01,7.0347296813462235,,6.6068917018284115,8.0,10.0,0,10.0
이탈리아,로마,2025-06-01,7.029967776584318,,3.751758087201125,8.0,7.0,2,10.0
스웨덴,스톡홀름,2025-06-01,7.029931972789116,,6.5400843881856545,10.0,2.0,2,10.0
베트남,호치민,2025-06-01,7.0245614035087725,,5.084388185654008,6.0,10.0,1,10.0
스페인,마드리드,2025-06-01,6.9592194772645914,,5.119549929676511,8.0,5.0,2,10.0
포르투갈,리스본,2025-06-01,6.8476548514142515,,4.831223628691983,8.0,5.0,2,10.0
스위스,취리히,2025-06-01,6.825850340136055,,6.012658227848101,10.0,2.0,2,10.0
필리핀,보라카이,2025-06-01,6.802076620121733,,6.005625879043601,8.0,10.0,0,10.0
포르투갈,포르토,2025-06-01,6.783709273182959,,4.665963431786216,8.0,5.0,2,10.0
필리핀,보홀,2025-06-01,6.684425349087003,,6.789732770745428,6.0,10.0,0,10.0
태국,치앙마이,2025-06-01,6.6368063014679555,,6.666666666666666,6.0,10.0,0,10.0
영국,런던,2025-06-01,6.55578231292517,,2.9887482419127984,10.0,5.0,2,10.0
스페인,바르셀로나,2025-06-01,6.541532402434659,,4.0400843881856545,8.0,5.0,2,10.0
몽골,울란바토르,2025-06-01,6.491836734693878,,4.890998593530239,10.0,9.0,0,10.0
